INSERT INTO products VALUES(1, 'SQUfrevTEkycwdgqHu', 'False', 1.93, 'small');
INSERT INTO products VALUES(52, 'PWmaZYwdSnCTuq', 'False', 2.72, 'medium');
INSERT INTO products VALUES(53, 'qbyXvFw', 'True', 3.46, 'flat envelope');
INSERT INTO products VALUES(54, 'cVyvUsPTpXBIeqFudxDnMZhrSHAWzR', 'True', 5.55, 'flat envelope');
INSERT INTO products VALUES(55, 'JFrnMYBpCTNdqDQvbSus', 'False', 2.25, 'flat envelope');
INSERT INTO products VALUES(56, 'QrbBndjVfIupmz', 'True', 7.97, 'medium');
INSERT INTO products VALUES(57, 'ktbWARTPXnDyJsKgrhfqIxcFv', 'False', 9.72, 'large');
INSERT INTO products VALUES(58, 'TJNGWydnDYSkgI', 'True', 2.68, 'medium');
INSERT INTO products VALUES(59, 'ytpWJcxdvbVXAQaMkFCe', 'False', 2.47, 'medium');
INSERT INTO products VALUES(60, 'psSvPUTdWrkEnFAXwhzyJq', 'True', 5.15, 'small');
INSERT INTO products VALUES(61, 'PVR', 'False', 7.91, 'small');
INSERT INTO products VALUES(62, 'FGAWDpIkKsdnBzM', 'False', 4.03, 'small');
INSERT INTO products VALUES(63, 'dYVnyHav', 'False', 2.89, 'flat envelope');
INSERT INTO products VALUES(64, 'kFUdxCItsmuGRXQHpYbrEzh', 'False', 8.29, 'small');
INSERT INTO products VALUES(65, 'jNdBmyFvhQ', 'True', 5.53, 'large');
INSERT INTO products VALUES(66, 'xQZeYtsSRwdIGMuPrDXBAKvjHfzqgm', 'True', 7.01, 'flat envelope');
INSERT INTO products VALUES(67, 'ZSfAjHYwWeugvsahFNIqdbzymp', 'True', 7.53, 'medium');
INSERT INTO products VALUES(68, 'GaEetIyP', 'False', 3.03, 'flat envelope');
INSERT INTO products VALUES(69, 'BgQdCvVezAsbhRGDSwxjEyq', 'True', 8.7, 'medium');
INSERT INTO products VALUES(70, 'DsKBzJcWEATYgafmXNxqCnZbQHS', 'True', 7.89, 'medium');
INSERT INTO products VALUES(71, 'ceyXNjG', 'False', 8.54, 'large');
INSERT INTO products VALUES(72, 'GXCzvqSAbKtrEZkNf', 'True', 8.22, 'small');
INSERT INTO products VALUES(73, 'ErSGVNHDPZXwushIJxpeQUmv', 'False', 2.36, 'large');
INSERT INTO products VALUES(74, 'kZQDjMhRXyaHcs', 'True', 1.44, 'flat envelope');
INSERT INTO products VALUES(75, 'VtTRGWmaBIyujZDSdJM', 'True', 8.47, 'medium');
INSERT INTO products VALUES(76, 'YGHhepVQWdnuRatAvJmxNMkTgzsKD', 'False', 4.14, 'large');
INSERT INTO products VALUES(77, 'tdWePSpusbHJIQkvfzgjZRh', 'True', 4.9, 'small');
INSERT INTO products VALUES(78, 'kdPAcxbgmvjXyQJRs', 'True', 1.1, 'medium');
INSERT INTO products VALUES(79, 'DGKuvnJdsEPAkCHb', 'True', 7.9, 'small');
INSERT INTO products VALUES(80, 'rpdFAMXCzKSfJPxRsnEqTyUDgjtWw', 'False', 8.22, 'small');
INSERT INTO products VALUES(81, 'MRycPfzAHvYJtXSEpVeKdNQgbB', 'True', 3.44, 'small');
INSERT INTO products VALUES(82, 'qsFDMJAHmIVhnUYEyeg', 'False', 3.14, 'large');
INSERT INTO products VALUES(83, 'KDySVEwtBCnIzmJZ', 'True', 4.49, 'large');
INSERT INTO products VALUES(84, 'GwprQygShDdkVEJXm', 'True', 6.46, 'flat envelope');
INSERT INTO products VALUES(85, 'aZtgYNhCFBpurE', 'True', 9.28, 'small');
INSERT INTO products VALUES(86, 'ZjtJSAxUaHM', 'True', 4.76, 'medium');
INSERT INTO products VALUES(87, 'MqSsVxTEQeIjfNghGdCkyKtvuBPn', 'False', 2.14, 'flat envelope');
INSERT INTO products VALUES(88, 'aNcQjGyWbRVegsvuCTxfEPIFzXnr', 'True', 4.61, 'large');
INSERT INTO products VALUES(89, 'wXzV', 'False', 1.01, 'large');
INSERT INTO products VALUES(90, 'fqmdJWEVahGFBvTZjeXkxPCbN', 'True', 0.29, 'small');
INSERT INTO products VALUES(91, 'bERGdNnIfAgpMeD', 'False', 6.4, 'large');
INSERT INTO products VALUES(92, 'FQJsgAGbe', 'False', 7.17, 'large');
INSERT INTO products VALUES(93, 'tKnPmSWzaMuCxIDsrgwGyFB', 'True', 4.11, 'small');
INSERT INTO products VALUES(94, 'xjDGJYNFpbHzQPCwWXfhSVs', 'False', 1.05, 'small');
INSERT INTO products VALUES(95, 'TfJQICnYjAkPwWNtZUHXM', 'True', 4.98, 'large');
INSERT INTO products VALUES(96, 'pUQPqYdvEACVIhWktxXbDg', 'False', 7.57, 'flat envelope');
INSERT INTO products VALUES(97, 'AJg', 'False', 9.45, 'flat envelope');
INSERT INTO products VALUES(98, 'EmfgrQRWNSzeF', 'False', 2.27, 'medium');
INSERT INTO products VALUES(99, 'TxUkVgRtzDw', 'False', 2.34, 'medium');
INSERT INTO products VALUES(100, 'eKZnTqsdmvVFyuErhkCJfMHUB', 'True', 0.23, 'medium');
